ID,Language,Module,Strand,Track,Difficulty,Prerequisite,Competency,Description,difficulty_score,motivation_req,engagement_req,capability,academic_fit,engagement,motivation,study_habits,prior_learning,preferences,constraints,commitment,strategies,interest,cluster,difficulty
BLP1,Filipino,Patinig,BLP LS1: Communication Skills,Basic Literacy Program,Beginner,,Effective Communication Skills,"Ability to access, process, and communicate information through listening, speaking, reading, writing, and viewing.",1,1,1,0.27508114183236515,0.23569573127638455,0.22986433822132105,0.17496577753603154,0.20149175221857707,0.304382710674192,0.34759962022800495,0.3834186360838303,0.9056807951633443,0.9632281716582738,0.8985195948902154,7,3
BLP2,Filipino,Katinig,BLP LS1: Communication Skills,Basic Literacy Program,Beginner,,Effective Communication Skills,"Ability to access, process, and communicate information through listening, speaking, reading, writing, and viewing.",1,1,1,0.9373010841022426,0.7991185705561497,0.808050037986807,0.8237791339966015,0.2964206174901008,0.22299017819451067,0.3756234746381846,0.28595213256729574,0.37660109509766193,0.34692322876230997,0.2860555015768847,7,2
BLP3,Filipino,Hiram na Letra,BLP LS1: Communication Skills,Basic Literacy Program,Beginner,"BLP1, BLP2",Effective Communication Skills,"Ability to access, process, and communicate information through listening, speaking, reading, writing, and viewing.",1,1,1,0.7316405514614667,0.7732921887370157,0.7212977095419433,0.8055185420451929,0.17643205770557235,0.25654422942794425,0.37211316972404795,0.34565913049922525,0.18916797201119984,0.19569515365726195,0.2965064441232251,7,1
BLP4,Filipino,Kilalanin Sila,BLP LS1: Communication Skills,Basic Literacy Program,Beginner,"BLP1, BLP2",Effective Communication Skills,"Ability to access, process, and communicate information through listening, speaking, reading, writing, and viewing.",1,1,1,0.7436472690222645,0.787989610283333,0.9877540875150976,0.872927550368257,0.19314773263361418,0.1726465712922931,0.25195394280996875,0.11750817607735009,0.2060593688069888,0.17046858160792527,0.17788590614978206,7,2
BLP5,Filipino,Oops…Ingat sa Lansangan,BLP LS1: Communication Skills,Basic Literacy Program,Beginner,"BLP1, BLP2",Effective Communication Skills,"Ability to access, process, and communicate information through listening, speaking, reading, writing, and viewing.",1,1,1,0.7595598705718495,0.7284117155906318,0.9374691045492124,0.9166315567943226,0.10247462931067314,0.24329546577681388,0.3510488090527213,0.2845684942018669,0.26332695831295166,0.20881789922852828,0.154778478319719,7,2
BLP6,Filipino,"Halika, Sama Ka Kaibigan",BLP LS1: Communication Skills,Basic Literacy Program,Beginner,"BLP1, BLP2",Effective Communication Skills,"Ability to access, process, and communicate information through listening, speaking, reading, writing, and viewing.",1,1,1,0.236134231190907,0.16588403303128424,0.13684157921128637,0.15198292511059738,0.39679544960788227,0.13344429495870602,0.10925558338019933,0.18632408653833266,0.9055110542296991,0.9471599136746861,0.7760983145201404,7,1
BLP7,Filipino,Ang K ng Buhay,BLP LS2: Problem-solving and Critical Thinking,Basic Literacy Program,Beginner,"BLP1, BLP2",Scientific Literacy and Critical Thinking,"Ability to analyze information using scientific processes, critical thinking, and evidence-based reasoning.",1,1,1,0.13707814537893348,0.3249574638206444,0.17802330128810387,0.3645939905390714,0.8974315975763052,0.7757801423900809,0.9612562337716088,0.7691394110838008,0.1784805028496042,0.3070255777633355,0.3620957935822934,1,2
BLP8,Filipino,Ang Pagsasaka,BLP LS2: Problem-solving and Critical Thinking,Basic Literacy Program,Beginner,"BLP1, BLP2",Scientific Literacy and Critical Thinking,"Ability to analyze information using scientific processes, critical thinking, and evidence-based reasoning.",1,1,1,0.7585863282895926,0.7077191522222265,0.831508627802145,0.7723847857818681,0.1902148172782343,0.22746496412184633,0.26614316712340236,0.22146947477026782,0.23151396245372088,0.39299632341817403,0.11026685189611043,7,3
BLP9,Filipino,Ang Sakit…May Lunas Pa Kaya?,BLP LS2: Problem-solving and Critical Thinking,Basic Literacy Program,Beginner,"BLP1, BLP2",Scientific Literacy and Critical Thinking,"Ability to analyze information using scientific processes, critical thinking, and evidence-based reasoning.",1,1,1,0.13070092992490354,0.17773418883967007,0.19498683240296522,0.21316960187107428,0.7399976936052947,0.7330668239456032,0.7082075472496554,0.7907318608075582,0.2079518837502044,0.2753362677862423,0.39285336461789144,1,3
BLP10,Filipino,Ang Tubig ay Buhay,BLP LS2: Problem-solving and Critical Thinking,Basic Literacy Program,Beginner,"BLP1, BLP2",Scientific Literacy and Critical Thinking,"Ability to analyze information using scientific processes, critical thinking, and evidence-based reasoning.",1,1,1,0.23819303204101208,0.22772735708341127,0.36129978202604807,0.24089565271101923,0.7624790524572455,0.7773531287633004,0.7426733603339214,0.7680959350174356,0.3025578350997885,0.3403459517477987,0.2683316250891734,7,1
BLP11,Filipino,"Bantayan, Labanan… Sakit ng Kapaligiran",BLP LS2: Problem-solving and Critical Thinking,Basic Literacy Program,Beginner,"BLP1, BLP2",Scientific Literacy and Critical Thinking,"Ability to analyze information using scientific processes, critical thinking, and evidence-based reasoning.",1,1,1,0.13891286367399922,0.16147969286788927,0.17807888321833432,0.29898447367599823,0.1956354216859672,0.1604971216435053,0.10871175624897393,0.3738145484133424,0.8715498464387934,0.9484660359137655,0.9089899477227777,7,3
BLP12,Filipino,Buhay-Karagatan: Buhay Ko Rin,BLP LS2: Problem-solving and Critical Thinking,Basic Literacy Program,Beginner,"BLP1, BLP2",Scientific Literacy and Critical Thinking,"Ability to analyze information using scientific processes, critical thinking, and evidence-based reasoning.",1,1,1,0.8151387465244675,0.8789989575398982,0.9312025311782156,0.806714034570178,0.16596119926972094,0.2186651328190921,0.12855122802140595,0.2210939621534398,0.35059401947706537,0.2308523316201471,0.18790558355749498,7,2
BLP13,Filipino,Halamang-gamot: Kaagapay sa Malusog na Pamumuhay,BLP LS2: Problem-solving and Critical Thinking,Basic Literacy Program,Beginner,"BLP1, BLP2",Scientific Literacy and Critical Thinking,"Ability to analyze information using scientific processes, critical thinking, and evidence-based reasoning.",1,1,1,0.3657610749011543,0.24160172717750536,0.3874477607948743,0.14139122511014185,0.21720100453152014,0.32814490089268145,0.15078987965392984,0.3803745800079136,0.7046985475031231,0.7550945893519146,0.837534399389809,7,2
BLP14,Filipino,Halinang Magbasa Tungkol sa Ating Kalikasan,BLP LS2: Problem-solving and Critical Thinking,Basic Literacy Program,Beginner,"BLP1, BLP2",Scientific Literacy and Critical Thinking,"Ability to analyze information using scientific processes, critical thinking, and evidence-based reasoning.",1,1,1,0.8190241080279018,0.9944093400608489,0.7382527823887616,0.7576286998753916,0.21641217338230517,0.2642389031901412,0.24380736797184174,0.14733199058451762,0.214438576124236,0.2417366965738153,0.22250439830038404,7,3
BLP15,Filipino,Hawak Ko Ang Kinabukasan Mo,BLP LS2: Problem-solving and Critical Thinking,Basic Literacy Program,Beginner,"BLP1, BLP2",Scientific Literacy and Critical Thinking,"Ability to analyze information using scientific processes, critical thinking, and evidence-based reasoning.",1,1,1,0.7232798879389422,0.9826133166272613,0.8033870014217026,0.7226911944717799,0.13386280853716961,0.38314220789373066,0.15671849347701233,0.12191217700997801,0.23857434507980857,0.32786544116129124,0.18062133985006246,7,3
BLP16,Filipino,Heat Wave,BLP LS2: Problem-solving and Critical Thinking,Basic Literacy Program,Beginner,"BLP1, BLP2",Scientific Literacy and Critical Thinking,"Ability to analyze information using scientific processes, critical thinking, and evidence-based reasoning.",1,1,1,0.8332374088501387,0.755073216255518,0.7872094911100872,0.9987526325400417,0.23787082650108618,0.29245481229827325,0.2272216931755503,0.3438823040722691,0.14999836467520186,0.3020090171734621,0.13672084288705053,7,3
BLP17,Filipino,Iilan Na Lang Sila?,BLP LS2: Problem-solving and Critical Thinking,Basic Literacy Program,Beginner,"BLP1, BLP2",Scientific Literacy and Critical Thinking,"Ability to analyze information using scientific processes, critical thinking, and evidence-based reasoning.",1,1,1,0.9545321682485897,0.7808639143435536,0.8455911277310305,0.9419788785889078,0.17212696123619345,0.11348470907997595,0.2536497567871747,0.11599684686791878,0.24944204705993664,0.3530243555859647,0.1702917261451819,7,2
BLP18,Filipino,Kalusugan ay Kayamanan,BLP LS2: Problem-solving and Critical Thinking,Basic Literacy Program,Beginner,"BLP1, BLP2",Scientific Literacy and Critical Thinking,"Ability to analyze information using scientific processes, critical thinking, and evidence-based reasoning.",1,1,1,0.7864434864609966,0.8681990745006899,0.7904574711139791,0.9283410707280502,0.3591159716368334,0.26817776682953476,0.37760828353777465,0.3620801995992803,0.11265685411531509,0.13308447524625228,0.3959903031494155,7,3
BLP19,Filipino,Kapaligiran: Pahalagahan…Pagyamanin,BLP LS2: Problem-solving and Critical Thinking,Basic Literacy Program,Beginner,"BLP1, BLP2",Scientific Literacy and Critical Thinking,"Ability to analyze information using scientific processes, critical thinking, and evidence-based reasoning.",1,1,1,0.8834706792233032,0.9895870015620647,0.8140004235829662,0.8762994475445608,0.27283601106180205,0.13094304809043353,0.14581351796254016,0.27614293006682133,0.3056928319386543,0.28796166449205624,0.1582572890474796,7,2
